date,TATN
2009-03-10,86.9
2009-03-11,83.84
2009-03-12,80.0
2009-03-13,81.18
2009-03-16,82.5
2009-03-17,83.96
2009-03-18,82.7
2009-03-19,83.63
2009-03-20,92.75
2009-03-23,98.8
2009-03-24,95.5
2009-03-25,96.43
2009-03-26,94.7
2009-03-27,88.9
2009-03-30,80.51
2009-03-31,79.8
2009-04-01,80.43
2009-04-02,85.55
2009-04-03,87.0
2009-04-06,90.25
2009-04-07,93.0
2009-04-08,95.02
2009-04-09,99.78
2009-04-10,99.03
2009-04-13,94.5
2009-04-14,98.0
2009-04-15,95.21
2009-04-16,97.99
2009-04-17,100.53
2009-04-20,93.35
2009-04-21,92.75
2009-04-22,95.0
2009-04-23,97.25
2009-04-24,98.46
2009-04-27,97.08
2009-04-28,96.15
2009-04-29,100.57
2009-04-30,100.18
2009-05-04,104.79
2009-05-05,104.8
2009-05-06,108.14
2009-05-07,118.05
2009-05-08,119.02
2009-05-12,128.0
2009-05-13,123.1
2009-05-14,122.0
2009-05-15,123.95
2009-05-18,122.25
2009-05-19,126.2
2009-05-20,135.94
2009-05-21,128.0
2009-05-22,126.5
2009-05-25,126.0
2009-05-26,125.44
2009-05-27,129.5
2009-05-28,129.0
2009-05-29,146.9
2009-06-01,151.85
2009-06-02,146.6
2009-06-03,130.3
2009-06-04,129.79
2009-06-05,129.5
2009-06-08,126.85
2009-06-09,122.0
2009-06-10,127.5
2009-06-11,126.95
2009-06-15,121.36
2009-06-16,120.15
2009-06-17,114.9
2009-06-18,107.99
2009-06-19,105.37
2009-06-22,100.97
2009-06-23,100.6
2009-06-24,112.0
2009-06-25,111.3
2009-06-26,112.55
2009-06-29,121.07
2009-06-30,126.5
2009-07-01,127.51
2009-07-02,121.83
2009-07-03,118.0
2009-07-06,108.89
2009-07-07,107.01
2009-07-08,102.45
2009-07-09,99.99
2009-07-10,96.3
2009-07-13,97.25
2009-07-14,98.38
2009-07-15,103.85
2009-07-16,103.99
2009-07-17,107.8
2009-07-20,107.85
2009-07-21,109.79
2009-07-22,105.22
2009-07-23,112.45
2009-07-24,111.9
2009-07-27,117.07
2009-07-28,115.15
2009-07-29,113.3
2009-07-30,124.99
2009-07-31,128.47
2009-08-03,130.5
2009-08-04,127.99
2009-08-05,124.0
2009-08-06,125.3
2009-08-07,126.79
2009-08-10,125.99
2009-08-11,121.01
2009-08-12,121.7
2009-08-13,121.55
2009-08-14,117.46
2009-08-17,114.51
2009-08-18,114.2
2009-08-19,115.5
2009-08-20,119.97
2009-08-21,125.89
2009-08-24,133.51
2009-08-25,130.4
2009-08-26,126.05
2009-08-27,122.52
2009-08-28,129.02
2009-08-31,126.59
2009-09-01,126.28
2009-09-02,120.53
2009-09-03,120.45
2009-09-04,120.21
2009-09-07,123.14
2009-09-08,128.91
2009-09-09,130.8
2009-09-10,129.1
2009-09-11,129.56
2009-09-14,127.61
2009-09-15,130.0
2009-09-16,129.8
2009-09-17,128.5
2009-09-18,127.07
2009-09-21,120.98
2009-09-22,125.04
2009-09-23,126.29
2009-09-24,120.55
2009-09-25,120.5
2009-09-28,124.01
2009-09-29,128.76
2009-09-30,126.18
2009-10-01,128.6
2009-10-02,123.85
2009-10-05,124.9
2009-10-06,127.73
2009-10-07,127.31
2009-10-08,133.65
2009-10-09,135.39
2009-10-12,141.21
2009-10-13,137.75
2009-10-14,139.9
2009-10-15,142.5
2009-10-16,138.61
2009-10-19,142.0
2009-10-20,142.09
2009-10-21,143.49
2009-10-22,141.01
2009-10-23,140.65
2009-10-26,141.6
2009-10-27,135.69
2009-10-28,127.5
2009-10-29,129.53
2009-10-30,125.73
2009-11-02,130.8
2009-11-03,124.2
2009-11-05,133.95
2009-11-06,129.85
2009-11-09,135.7
2009-11-10,141.11
2009-11-11,137.47
2009-11-12,140.2
2009-11-13,142.35
2009-11-16,146.05
2009-11-17,142.6
2009-11-18,145.4
2009-11-19,141.73
2009-11-20,144.61
2009-11-23,145.85
2009-11-24,142.5
2009-11-25,140.01
2009-11-26,136.0
2009-11-27,138.74
2009-11-30,138.25
2009-12-01,144.98
2009-12-02,143.5
2009-12-03,140.26
2009-12-04,144.22
2009-12-07,140.67
2009-12-08,140.0
2009-12-09,137.02
2009-12-10,135.39
2009-12-11,136.0
2009-12-14,139.85
2009-12-15,142.5
2009-12-16,148.37
2009-12-17,145.1
2009-12-18,141.68
2009-12-21,142.38
2009-12-22,138.7
2009-12-23,139.0
2009-12-24,138.25
2009-12-25,138.7
2009-12-28,141.0
2009-12-29,140.37
2009-12-30,139.0
2009-12-31,139.5
2010-01-11,144.2
2010-01-12,142.76
2010-01-13,144.5
2010-01-14,144.08
2010-01-15,145.25
2010-01-18,145.99
2010-01-19,145.0
2010-01-20,144.22
2010-01-21,141.0
2010-01-22,138.99
2010-01-25,141.11
2010-01-26,138.5
2010-01-27,139.5
2010-01-28,142.01
2010-01-29,144.0
2010-02-01,141.86
2010-02-02,142.35
2010-02-03,141.56
2010-02-04,141.28
2010-02-05,137.5
2010-02-08,135.31
2010-02-09,139.51
2010-02-10,139.83
2010-02-11,140.9
2010-02-12,139.89
2010-02-15,139.7
2010-02-16,140.86
2010-02-17,140.95
2010-02-18,140.0
2010-02-19,141.0
2010-02-24,141.79
