Ticker,LKOH,LKOH,LKOH,LKOH,LKOH,LKOH,ROSN,ROSN,ROSN,ROSN,ROSN,ROSN,SIBN,SIBN,SIBN,SIBN,SIBN,SIBN,SNGS,SNGS,SNGS,SNGS,SNGS,SNGS,TATN,TATN,TATN,TATN,TATN,TATN
Indicator,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28,2915.0,2920.0,2929.5,2888.0,1011240248.5,347692,301.55,300.95,301.75,299.45,414352724.0,1379370.0,207.8,207.1,207.8,206.1,14959725.0,72340.0,26.68,26.6,26.68,26.4,145136138.0,5476300,385.0,388.0,390.0,382.1,321973584.0,834470.0
2017-08-29,2911.5,2894.0,2914.5,2860.0,1877364453.5,651423,301.0,301.0,301.0,298.15,649160512.0,2169050.0,207.0,206.5,208.0,202.55,28575437.5,138710.0,26.5,26.46,26.55,26.12,350135475.0,13328000,386.95,382.85,387.25,375.1,643111445.0,1699100.0
2017-08-30,2900.0,2905.0,2915.5,2885.0,1688168457.5,582751,301.0,307.0,307.4,300.4,1395445348.5,4593300.0,207.95,208.0,208.0,205.25,6845692.5,33080.0,26.505,26.665,26.67,26.285,305275427.5,11520400,382.8,381.55,384.0,376.0,372088444.0,978720.0
2017-08-31,2894.5,2940.5,2952.0,2890.5,2676254160.0,913810,306.5,304.0,310.2,303.5,1360595430.5,4428040.0,209.45,207.55,209.45,206.95,15667844.0,75410.0,26.6,27.0,27.0,26.51,412887655.5,15432400,378.35,388.0,388.0,377.05,729284049.0,1896490.0
2017-09-01,2940.5,2915.0,2954.5,2914.0,1295675033.0,441761,304.55,304.1,307.45,302.55,757979103.5,2483240.0,207.95,207.95,208.4,205.1,10767201.5,52140.0,26.905,27.25,27.53,26.865,420717255.0,15443000,386.1,386.15,389.5,384.05,434615580.0,1123710.0
2017-09-04,2908.0,2895.0,2922.5,2878.5,1107827146.0,381970,303.25,302.6,304.85,301.35,702383022.0,2316780.0,208.0,205.6,208.0,205.6,6380368.5,30970.0,27.295,27.285,27.545,27.09,161671707.0,5918500,385.55,385.4,388.7,383.15,327456522.0,848780.0
2017-09-05,2907.0,2883.5,2915.5,2863.5,1523620937.5,528220,304.0,302.85,305.2,299.65,995005812.5,3297490.0,204.5,206.25,207.0,204.5,10820597.0,52490.0,27.42,27.6,27.6,26.85,335343735.5,12287800,386.75,386.0,389.4,383.65,426294195.0,1103850.0
2017-09-06,2888.0,2919.0,2919.0,2855.5,2193411015.0,761368,301.8,303.0,303.1,300.25,799937628.0,2652900.0,205.5,207.5,208.45,201.7,68661081.0,332830.0,27.425,27.715,27.715,27.03,479109847.0,17525000,387.0,392.5,393.0,383.25,660608108.0,1702760.0
2017-09-07,2915.0,2876.0,2919.0,2876.0,1606545391.5,554329,303.1,306.0,307.95,302.8,1177815978.0,3859520.0,208.0,210.3,210.3,207.6,32260077.0,154320.0,27.61,27.025,27.86,27.025,620033691.5,22681200,393.0,389.4,395.8,389.4,527483482.0,1343880.0
2017-09-08,2887.5,2925.0,2928.0,2884.0,1559940614.5,535898,306.2,314.95,317.75,306.2,3368910988.0,10731230.0,209.9,216.0,216.8,209.4,135305940.0,635170.0,27.16,27.77,27.775,27.1,840361827.0,30508000,389.05,395.85,396.25,388.4,380607854.5,966150.0
2017-09-11,2931.0,2909.0,2939.0,2906.5,1352373873.0,463153,317.0,314.2,317.55,313.7,1809958577.0,5731390.0,216.1,224.05,224.55,216.1,58826140.0,266250.0,27.78,28.02,28.125,27.5,527233907.0,18975500,396.4,391.05,398.3,388.2,590457575.0,1508530.0
2017-09-12,2913.0,2961.5,2965.0,2913.0,1337661550.0,455251,314.7,314.6,315.6,310.5,1768401587.0,5651020.0,224.3,223.1,225.0,221.45,26093637.0,117470.0,28.09,28.04,28.155,27.855,243685821.0,8706300,391.9,391.35,392.0,383.6,482798665.5,1246570.0
2017-09-13,2961.5,2938.0,2975.0,2938.0,2396120302.5,809541,315.0,314.75,319.9,314.15,2698681486.5,8499780.0,224.3,224.15,227.7,222.7,40924081.0,181800.0,28.16,27.9,28.34,27.9,267572693.0,9518400,390.5,384.5,390.5,384.5,652488559.5,1687800.0
2017-09-14,2940.0,2970.0,2983.0,2926.5,2050010274.5,693934,314.1,319.3,320.7,314.0,2365563111.5,7450650.0,223.95,221.75,224.9,220.7,95517857.0,429310.0,27.99,27.9,28.06,27.58,518846616.0,18686100,385.55,391.05,392.8,384.25,437981821.5,1127260.0
2017-09-15,2966.0,2978.5,2995.5,2950.0,3255716769.5,1095633,319.3,319.7,321.6,317.5,1203679070.5,3770680.0,220.8,222.3,222.85,220.6,80270465.5,362350.0,27.895,28.15,28.225,27.695,556542392.0,19911300,390.55,396.6,398.0,386.8,860573454.0,2185440.0
2017-09-18,2986.0,3032.5,3048.0,2975.0,4235370935.5,1399657,320.0,318.0,321.15,315.45,1214425007.5,3818520.0,221.6,225.4,225.95,220.75,41887964.5,187260.0,28.145,28.26,28.385,27.915,328278989.5,11647000,397.4,395.5,400.3,394.65,403180393.0,1015870.0
2017-09-19,3025.0,3025.0,3060.0,3016.0,1902918383.5,626204,317.85,313.0,318.0,312.45,1035454759.5,3293740.0,224.1,224.35,225.25,220.8,62848458.0,282360.0,28.33,28.495,28.64,28.23,295233674.0,10386000,395.05,391.05,396.95,389.25,349392912.0,891000.0
2017-09-20,3022.0,2985.0,3030.0,2975.0,2644510740.5,882295,313.05,315.0,315.35,311.3,1000120294.5,3188820.0,224.4,223.2,224.85,221.9,12191350.0,54570.0,28.5,28.83,28.865,28.335,472948569.5,16513900,389.65,399.95,399.95,389.65,463037992.5,1168210.0
2017-09-21,2996.5,2991.5,3018.5,2987.0,2619096781.0,871434,314.5,316.7,319.4,314.5,1506061735.5,4747290.0,223.5,222.2,225.05,220.8,32935945.5,147480.0,28.745,28.88,29.175,28.74,482899325.0,16640000,399.85,409.4,411.0,396.3,946812330.0,2347460.0
2017-09-22,2994.0,2970.0,2994.0,2948.0,2311078988.0,779297,316.65,316.7,318.0,314.3,754973059.5,2388990.0,221.4,218.8,222.7,217.25,59378124.5,271640.0,28.8,28.725,28.965,28.52,265263222.0,9221600,408.0,402.35,409.3,400.0,627046078.5,1554910.0
2017-09-25,2977.0,3039.5,3041.0,2962.5,2462307947.5,818676,316.55,321.55,322.3,315.25,1576646418.0,4940830.0,220.9,218.7,220.9,216.1,60253665.0,275920.0,28.72,29.18,29.2,28.555,416842614.5,14411200,403.5,412.1,412.15,400.75,435464210.0,1067910.0
2017-09-26,3047.0,3022.0,3065.5,3017.0,2022438675.0,664068,322.4,323.45,327.25,322.4,2263431540.0,6957890.0,220.0,223.2,224.05,219.45,60172834.5,272020.0,29.215,29.01,29.41,28.99,384345783.0,13168400,415.0,405.7,415.0,405.7,493318115.0,1204100.0
